('09/19/2015', ('PETIT LARCENY', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('09/19/2015', ('MISCELLANEOUS PENAL LAW', '40.828723865', '-73.923190768', 'Yankees', 'gameday'))
('09/19/2015', ('HARRASSMENT 2', '40.830702032', '-73.922039379', 'Yankees', 'gameday'))
('09/19/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.830577118', '-73.928341525', 'Yankees', 'gameday'))
('09/19/2015', ('OFFENSES INVOLVING FRAUD', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('09/19/2015', ('OFFENSES INVOLVING FRAUD', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('09/19/2015', ('OFFENSES INVOLVING FRAUD', '40.754989552', '-73.844434938', 'Mets', 'gameday'))
('09/19/2015', ('GRAND LARCENY', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('09/19/2015', ('FELONY ASSAULT', '40.831603926', '-73.928799346', 'Yankees', 'gameday'))
('08/17/2012', ('GRAND LARCENY', '40.831982041', '-73.923490551', 'Yankees', 'gameday'))
('08/17/2012', ('HARRASSMENT 2', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('08/17/2012', ('HARRASSMENT 2', '40.827668623', '-73.925435892', 'Yankees', 'gameday'))
('08/17/2012', ('DANGEROUS DRUGS', '40.830354282', '-73.923275612', 'Yankees', 'gameday'))
('08/17/2012', ('GRAND LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('08/17/2012', ('OFFENSES AGAINST PUBLIC ADMINI', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('08/17/2012', ('PETIT LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('08/17/2012', ('DANGEROUS WEAPONS', '40.833841433', '-73.921226231', 'Yankees', 'gameday'))
('08/17/2012', ('FELONY ASSAULT', '40.82681201', '-73.920923807', 'Yankees', 'gameday'))
('08/17/2012', ('POSSESSION OF STOLEN PROPERTY', '40.83134404', '-73.921662816', 'Yankees', 'gameday'))
('08/17/2012', ('FELONY ASSAULT', '40.826284877', '-73.920707634', 'Yankees', 'gameday'))
('08/17/2012', ('HARRASSMENT 2', '40.825734869', '-73.923190605', 'Yankees', 'gameday'))
('01/12/2015', ('GRAND LARCENY OF MOTOR VEHICLE', '40.828723865', '-73.923190768', 'Yankees', 'not_gameday'))
('01/12/2015', ('ROBBERY', '40.75973906', '-73.84121122', 'Mets', 'not_gameday'))
('01/12/2015', ('ASSAULT 3 & RELATED OFFENSES', '40.826284877', '-73.920707634', 'Yankees', 'not_gameday'))
('01/12/2015', ('FRAUDS', '40.831432265', '-73.926429022', 'Yankees', 'not_gameday'))
('01/12/2015', ('INTOXICATED & IMPAIRED DRIVING', '40.831432265', '-73.926429022', 'Yankees', 'not_gameday'))
('03/26/2015', ('HARRASSMENT 2', '40.83111635', '-73.930411516', 'Yankees', 'not_gameday'))
('03/26/2015', ('HARRASSMENT 2', '40.825393733', '-73.92618277', 'Yankees', 'not_gameday'))
('03/26/2015', ('HARRASSMENT 2', '40.82681201', '-73.920923807', 'Yankees', 'not_gameday'))
('03/26/2015', ('PETIT LARCENY', '40.754989552', '-73.844434938', 'Mets', 'not_gameday'))
('03/26/2015', ('OFF. AGNST PUB ORD SENSBLTY &', '40.829966517', '-73.92214142', 'Yankees', 'not_gameday'))
('08/04/2013', ('GRAND LARCENY', '40.755344758', '-73.843246598', 'Mets', 'gameday'))
('08/04/2013', ('PETIT LARCENY', '40.831334542', '-73.923874334', 'Yankees', 'gameday'))
('08/04/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.832895381', '-73.926716496', 'Yankees', 'gameday'))
('08/04/2013', ('CRIMINAL MISCHIEF & RELATED OF', '40.831982041', '-73.923490551', 'Yankees', 'gameday'))
('08/04/2013', ('ROBBERY', '40.828723865', '-73.923190768', 'Yankees', 'gameday'))
('04/18/2011', ('OFF. AGNST PUB ORD SENSBLTY &', '40.829685886', '-73.921155267', 'Yankees', 'not_gameday'))
('04/18/2011', ('PETIT LARCENY', '40.830702032', '-73.922039379', 'Yankees', 'not_gameday'))
('04/18/2011', ('OFF. AGNST PUB ORD SENSBLTY &', '40.831786127', '-73.930522836', 'Yankees', 'not_gameday'))
('06/28/2011', ('HARRASSMENT 2', '40.831578538', '-73.927697229', 'Yankees', 'gameday'))
('06/28/2011', ('PETIT LARCENY', '40.826628283', '-73.929657412', 'Yankees', 'gameday'))
('06/28/2011', ('FORGERY', '40.83068979', '-73.92426172', 'Yankees', 'gameday'))
('06/28/2011', ('DANGEROUS DRUGS', '40.83068979', '-73.92426172', 'Yankees', 'gameday'))
('06/28/2011', ('FELONY ASSAULT', '40.82681201', '-73.920923807', 'Yankees', 'gameday'))
('06/28/2011', ('PETIT LARCENY', '40.829685886', '-73.921155267', 'Yankees', 'gameday'))
('06/20/2013', ('HARRASSMENT 2', '40.829636494', '-73.921173393', 'Yankees', 'gameday'))
('06/20/2013', ('CRIMINAL MISCHIEF & RELATED OF', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('06/20/2013', ('DANGEROUS DRUGS', '40.829907861', '-73.924743205', 'Yankees', 'gameday'))
('06/20/2013', ('FORGERY', '40.826620524', '-73.921867109', 'Yankees', 'gameday'))
('06/20/2013', ('DANGEROUS DRUGS', '40.82543314', '-73.923476401', 'Yankees', 'gameday'))
('06/20/2013', ('DANGEROUS DRUGS', '40.826828682', '-73.9253465', 'Yankees', 'gameday'))
('06/20/2013', ('ROBBERY', '40.829952373', '-73.930051383', 'Yankees', 'gameday'))
('11/01/2012', ('OFF. AGNST PUB ORD SENSBLTY &', '40.833695668', '-73.920796372', 'Yankees', 'not_gameday'))
('11/01/2012', ('GRAND LARCENY OF MOTOR VEHICLE', '40.830702032', '-73.922039379', 'Yankees', 'not_gameday'))
('11/01/2012', ('PETIT LARCENY', '40.826725409', '-73.922737797', 'Yankees', 'not_gameday'))
('11/01/2012', ('HARRASSMENT 2', '40.833419507', '-73.930980069', 'Yankees', 'not_gameday'))
('11/01/2012', ('ASSAULT 3 & RELATED OFFENSES', '40.831005149', '-73.928109797', 'Yankees', 'not_gameday'))
('11/01/2012', ('OTHER OFFENSES RELATED TO THEF', '40.755344758', '-73.843246598', 'Mets', 'not_gameday'))
('05/12/2013', ('OFFENSES AGAINST PUBLIC ADMINI', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('05/12/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('05/12/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('05/12/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.832741241', '-73.921870763', 'Yankees', 'gameday'))
('05/12/2013', ('PETIT LARCENY', '40.828922493', '-73.924719025', 'Yankees', 'gameday'))
('05/12/2013', ('HARRASSMENT 2', '40.831648643', '-73.93011103', 'Yankees', 'gameday'))
('05/12/2013', ('FELONY ASSAULT', '40.833419507', '-73.930980069', 'Yankees', 'gameday'))
('05/12/2013', ('FELONY ASSAULT', '40.833419507', '-73.930980069', 'Yankees', 'gameday'))
('05/12/2013', ('PETIT LARCENY', '40.829789883', '-73.924811995', 'Yankees', 'gameday'))
('05/12/2013', ('HARRASSMENT 2', '40.825734869', '-73.923190605', 'Yankees', 'gameday'))
('05/12/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.826862599', '-73.922668984', 'Yankees', 'gameday'))
('05/12/2013', ('ROBBERY', '40.831432265', '-73.926429022', 'Yankees', 'gameday'))
('05/12/2013', ('OFFENSES AGAINST PUBLIC ADMINI', '40.833450787', '-73.928266157', 'Yankees', 'gameday'))
('07/10/2013', ('HARRASSMENT 2', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('07/10/2013', ('HARRASSMENT 2', '40.828723865', '-73.923190768', 'Yankees', 'gameday'))
('07/10/2013', ('PETIT LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('07/10/2013', ('PETIT LARCENY', '40.827819901', '-73.925930756', 'Yankees', 'gameday'))
('07/10/2013', ('ASSAULT 3 & RELATED OFFENSES', '40.832895381', '-73.926716496', 'Yankees', 'gameday'))
('07/10/2013', ('DANGEROUS DRUGS', '40.833193979', '-73.930214204', 'Yankees', 'gameday'))
('09/14/2009', ('HARRASSMENT 2', '40.833281303', '-73.925032097', 'Yankees', 'gameday'))
('09/14/2009', ('PETIT LARCENY', '40.831982041', '-73.923490551', 'Yankees', 'gameday'))
('09/14/2009', ('PETIT LARCENY', '40.755879689', '-73.843028771', 'Mets', 'gameday'))
('09/14/2009', ('THEFT-FRAUD', '40.829685886', '-73.921155267', 'Yankees', 'gameday'))
('09/14/2009', ('CRIMINAL TRESPASS', '40.831603926', '-73.928799346', 'Yankees', 'gameday'))
